Borrower Name,Lender Name / Role,Sector,RIC,Tranche Type,Issue Date,Maturity Date,Discounted Spread,Tranche Amount (USD),Tranche Amount,Tranche Currency,Market Segment,Region,Market of Issue,Domicile,Specific Purpose,Base Rate / Margin,Seniority,Secured,Tenor,Tranche CUSIP,Ticker,SIC,NAIC,Contributed Pricing Source,LIN,Sponsored,Price (Ask),Price (Bid),Price (Mid),Pricing Source,Yield (to 3 yrs)
METRONET RAIL SSL FINANCE PLC,European Investment Bank [EIB]:Sole lender,"Passenger Transportation, Ground & Sea (NEC)",,Other Loan,26-03-03,,--,"375,930,428","300,000,000",British Pound,Project Finance,EMEA,United Kingdom,United Kingdom,Project Finance,,Senior,Yes,--,,METVV,"Transportation, Communications, Electric, Gas, And Sanitary Services\Railroad Transportation\Railroads\Railroads, Line- Haul operating",Other Financial Vehicles,,,No,--,--,--,,--
MEXICAN WATER FUNDING TRUST,"Banco Nacional de Comercio Exterior SNC:Arranger, Bank of Tokyo-Mitsubishi Group:Arranger, Bankia [ex-Caja Madrid]:Arranger, HSH Nordbank AG:Arranger, KBC Bank NV:Arranger, Landesbank Baden-Wurttemberg [LBBW]:Arranger, Natixis SA [Ex-Natexis Banques Populaires]:Arranger, Norddeutsche Landesbank GZ [NordLB]:Arranger",Water Supply & Irrigation Systems,,Other Loan,09-02-04,,--,"68,698,019","68,698,019",US Dollar,Project Finance,Latin America,Mexico,Mexico,Project Finance,,Senior,,--,,MENRI,"Transportation, Communications, Electric, Gas, And Sanitary Services\Electric, Gas, and Sanitary Services\Water Supply\Water Supply",Water Supply and Irrigation Systems,,,No,--,--,--,,--
EL CAJON PUBLIC FINANCING AUTHORITY,"BBVA Bancomer:Admin agent, Banco Santander SA [Ex-Santander Central Hispano SA]:Arranger, DEPFA Bank Plc:Co-arranger, General Electric Capital Corp:Co-arranger, HSBC:Arranger, Interacciones:Co-arranger, NordLB Group:Syndication agent, Portigon AG [ex-WestLB AG]:Syndication agent",Electric Utilities (NEC),,Term Loan,11-02-04,,--,"455,000,000","455,000,000",US Dollar,Project Finance,Latin America,Mexico,United States,Project Finance,LIBOR + 300,Senior,,--,,,"Transportation, Communications, Electric, Gas, And Sanitary Services\Electric, Gas, and Sanitary Services\Electric Services\Electric Services",Other Electric Power Generation,,,No,--,--,--,,--
CHINA CONSTRUCTION BANK CORP,Deutsche Bank AG:Mandated arranger,Banks (NEC),,Term Loan,14-05-04,,--,"25,400,000","25,400,000",US Dollar,Project Finance,Asia,China (Mainland),China (Mainland),Project Finance,,Senior,,--,,CNCBK,"Finance, Insurance and Real Estate\Depository Institutions\Commercial Banks\National Commercial Banks",Commercial Banking,,,No,--,--,--,,--
CHINA CONSTRUCTION BANK CORP,HSBC:Mandated arranger,Banks (NEC),,Term Loan,14-05-04,,--,"59,100,000","59,100,000",US Dollar,Project Finance,Asia,China (Mainland),China (Mainland),Project Finance,,Senior,,--,,CNCBK,"Finance, Insurance and Real Estate\Depository Institutions\Commercial Banks\National Commercial Banks",Commercial Banking,,,No,--,--,--,,--
GLADSHEIM AVIATION FINANCE AB,Commerzbank Corporates & Markets [ex-Dresdner Kleinwort Wasserstein]:Mandated arranger,,,Term Loan,04-08-04,,--,"93,000,000","93,000,000",US Dollar,,EMEA,Sweden,Sweden,Aircraft & Ship finance,,Senior,,--,,GLETN,Manufacturing\Transportation Equipment\Aircraft and Parts\Aircraft,,,,No,--,--,--,,--
MINISTRY OF FINANCE OF THE REPUBLIC OF INDONESIA,Japan Bank for International Cooperation:Sole lender,Diversified Investment Services,,Term Loan,25-10-04,,--,"116,970,402","18,100,000,000",Japanese Yen,Project Finance,Asia,Indonesia,Indonesia,Project Finance,,Senior,,--,,DKURI,"Public Administration\Public Finance, Taxation, and Monetary Policy\Public Finance, Taxation, and Monetary Policy\Public Finance, Taxation, and Monetary Policy",Public Finance Activities,,,No,--,--,--,,--
KK IZUNOSATO,"Mizuho Bank Ltd:Mandated arranger, Shimizu Bank:Lender",Financial & Commodity Market Operators & Service Providers (NEC),,Term Loan,27-03-06,20-06-27,--,"9,047,434","1,400,000,000",Japanese Yen,,Asia,Japan,Japan,Equipment Upgrade/Construction,,Senior,,255,,IZUNO,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Services Allied With The Exchange of Securities Or Commodities\Services Allied With The Exchange of Securities Or Commodities,",Miscellaneous Financial Investment Activities,,,No,--,--,--,,--
KK TSUSHIMA MANAGEMENT,"Hokkaido Bank:Lender, Mizuho Bank Ltd:Mandated arranger, North Pacific Bank [Hokuyo Bank]:Lender",Investment Management & Fund Operators (NEC),,Term Loan,28-07-06,25-07-26,--,"10,663,048","1,650,000,000",Japanese Yen,,Asia,Japan,Japan,Real estate loan,,Senior,,240,,,"Finance, Insurance and Real Estate\Nondepository Credit Institutions\Business Credit Institutions\Short- Term business Credit Institutions, Except Agricultural",Miscellaneous Intermediation,,,No,--,--,--,,--
NASA CORP LTD,Mizuho Bank Ltd:Mandated arranger,Hedge Funds,,Term Loan,27-09-06,31-05-26,--,"6,139,330","950,000,000",Japanese Yen,,Asia,Japan,Japan,Real estate loan,,Senior,,236,,NAACP,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Services Allied With The Exchange of Securities Or Commodities\Services Allied With The Exchange of Securities Or Commodities,",Miscellaneous Intermediation,,,No,--,--,--,,--
VML US FINANCE LLC,"Bank of Scotland Plc:Participant, Citigroup:Syndication agent, Commerzbank AG:Participant, Goldman Sachs & Co:Syndication agent, Lehman Brothers Inc:Syndication agent, Morgan Stanley:Participant, Scotia Capital:Admin agent",Corporate Financial Services (NEC),,Term Loan B,11-04-07,,--,"100,000,000","100,000,000",US Dollar,"Project Finance, Institutional, Non Investment Grade",North America,United States,United States,Project Finance,LIBOR + 225,Senior,Yes,--,,LVSUF,"Services\Hotels, Rooming Houses, Camps, and Other Lodging Places\Hotels and Motels\Hotels and Motels",Other Financial Vehicles,,,No,--,--,--,,--
VML US FINANCE LLC,"Bank of Scotland Plc:Participant, Citigroup:Syndication agent, Commerzbank AG:Participant, Goldman Sachs & Co:Syndication agent, Lehman Brothers Inc:Syndication agent, Morgan Stanley:Participant, Scotia Capital:Admin agent",Corporate Financial Services (NEC),,Delay Draw Term Loan,11-04-07,,--,"700,000,000","700,000,000",US Dollar,"Project Finance, Non Investment Grade",North America,United States,United States,Project Finance,LIBOR + 225,Senior,Yes,--,,LVSUF,"Services\Hotels, Rooming Houses, Camps, and Other Lodging Places\Hotels and Motels\Hotels and Motels",Other Financial Vehicles,,,No,--,--,--,,--
REALTY ASSOCIATES FUND VIII LP,"Bank of America:Admin agent, TD Banknorth NA:Participant, Wachovia Bank:Syndication agent, Wells Fargo & Co:Participant","Real Estate Rental, Development & Operations (NEC)",,Revolver/Line >= 1 Yr.,19-04-07,19-04-31,--,"500,000,000","500,000,000",US Dollar,"Non Investment Grade, Investment Grade",North America,United States,United States,Real estate loan,LIBOR + 75,Senior,,288,,RASCT,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Miscellaneous Investing\Real Estate Investment Trusts",Lessors of Nonresidential Buildings (except Miniwarehouses),,,No,--,--,--,,--
HURRIKAN POWER FUNDING HOLDING GMBH,ABN AMRO Bank NV [RBS]:Bookrunner,Diversified Investment Services,,Term Loan,04-06-07,03-06-27,--,"78,200,000","78,200,000",US Dollar,Project Finance,EMEA,Germany,Germany,Project Finance,,Senior,Yes,240,,HURKN,"Transportation, Communications, Electric, Gas, And Sanitary Services\Electric, Gas, and Sanitary Services\Electric Services\Electric Services",Turbine and Turbine Generator Set Units Manufacturing,,,No,--,--,--,,--
HURRIKAN POWER FUNDING HOLDING GMBH,ABN AMRO Bank NV [RBS]:Bookrunner,Diversified Investment Services,,Guarantee,04-06-07,03-06-27,--,"5,500,000","5,500,000",US Dollar,Project Finance,EMEA,Germany,Germany,Project Finance,,Senior,Yes,240,,HURKN,"Transportation, Communications, Electric, Gas, And Sanitary Services\Electric, Gas, and Sanitary Services\Electric Services\Electric Services",Turbine and Turbine Generator Set Units Manufacturing,,,No,--,--,--,,--
CREDIT FINANCIER INVEST CFI LTD,"Danish Ship Finance A/S [Danmarks Skibskreditfond]:Participant, Royal Bank of Scotland Plc [RBS]:Mandated arranger",Diversified Investment Services,,Term Loan,05-06-07,,--,"284,250,000","284,250,000",US Dollar,,EMEA,Denmark,Cyprus,Ship finance,LIBOR + 50,Senior,,--,,CFIGHC,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Services Allied With The Exchange of Securities Or Commodities\Investment Advice",Portfolio Management and Investment Advice,,,No,--,--,--,,--
CONCESSION A25 FUNDING 2 LTD,"Bank of Ireland Group:Participant, Bank of Nova Scotia:Syndication agent, Bank of Scotland Plc:Syndication agent, Bayerische Landesbank GZ:Participant, Commonwealth Bank of Australia:Documentation, ING Bank:Participant, National Australia Bank BIBF:Documentation, Societe Generale SA:Admin agent",Corporate Financial Services (NEC),,Revolver/Line >= 1 Yr.,11-12-07,11-12-37,--,"7,153,076","10,000,000",Canadian Dollar,Project Finance,North America,Canada,Canada,Project Finance,LIBOR + 125,Senior,,360,,CONCO,"Transportation, Communications, Electric, Gas, And Sanitary Services\Transportation Services\Miscellaneous Services Incidental To Transportation\Fixed Facilities and Inspection and Weighing Services For Motor Vehicle Transportation",Other Financial Vehicles,,,No,--,--,--,,--
CONCESSION A25 FUNDING 2 LTD,"Bank of Ireland Group:Participant, Bank of Nova Scotia:Syndication agent, Bank of Scotland Plc:Syndication agent, Bayerische Landesbank GZ:Participant, Commonwealth Bank of Australia:Documentation, ING Bank:Participant, National Australia Bank BIBF:Documentation, Societe Generale SA:Admin agent",Corporate Financial Services (NEC),,Term Loan,11-12-07,11-12-37,--,"185,979,971","260,000,000",Canadian Dollar,Project Finance,North America,Canada,Canada,Project Finance,LIBOR + 125,Senior,,360,,CONCO,"Transportation, Communications, Electric, Gas, And Sanitary Services\Transportation Services\Miscellaneous Services Incidental To Transportation\Fixed Facilities and Inspection and Weighing Services For Motor Vehicle Transportation",Other Financial Vehicles,,,No,--,--,--,,--
GLASGOW SCHOOL PTE FINANCE INITIATIVE,Bank of Scotland Plc:Sole lender,,,Term Loan,01-02-08,31-12-29,--,"194,230,721","155,000,000",British Pound,Project Finance,EMEA,United Kingdom,United Kingdom,Project Finance,,Senior,Yes,262,,GLHII,Public Administration\Administration of Environmental Quality and Housing Programs\Administration of Housing and Urban Development Programs\Administration of Urban Planning and Community and Rural Development,Administration of Urban Planning and Community and Rural Development,,,No,--,--,--,,--
GLASGOW SCHOOL PTE FINANCE INITIATIVE,Bank of Scotland Plc:Mandated arranger,,,Term Loan,01-02-08,30-06-29,--,"15,037,217","12,000,000",British Pound,Project Finance,EMEA,United Kingdom,United Kingdom,Project Finance,,Senior,Yes,256,,GLHII,Public Administration\Administration of Environmental Quality and Housing Programs\Administration of Housing and Urban Development Programs\Administration of Urban Planning and Community and Rural Development,Administration of Urban Planning and Community and Rural Development,,,No,--,--,--,,--
MPC MUENCHMEYER PETERSEN CAPITAL AG,"Bayerische Hypo-und Vereinsbank AG:Co-arranger, Commerzbank Corporates & Markets [ex-Dresdner Kleinwort Ltd]:Lead arranger, Credit Agricole Corporate & Investment Bank SA [ex-Calyon Bank]:Lead arranger, Deutsche Schiffsbank AG:Co-arranger, HSH Nordbank AG:Mandated arranger",Investment Management & Fund Operators (NEC),,Other Loan,22-04-08,,--,"1,100,000,000","1,100,000,000",US Dollar,,EMEA,Germany,Germany,Ship finance,,Senior,Yes,--,,MPCK,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Services Allied With The Exchange of Securities Or Commodities\Investment Advice",Portfolio Management and Investment Advice,,,No,--,--,--,,--
GANGNAM FINANCE CENTER CO LTD,"Hana Bank:Mandated arranger, Kwangju Bank:Mandated arranger, Public Offical Public Association:Mandated arranger","Real Estate Rental, Development & Operations (NEC)",,Term Loan,14-06-08,14-06-28,--,"5,704,507","8,000,000,000",South Korean Won,,Asia,South Korea,South Korea,General Purpose,Money Market Rate + 350,Senior,,240,,STEIG,"Services\Hotels, Rooming Houses, Camps, and Other Lodging Places\Organization Hotels and Lodging Houses, On Membership Basis\Organization Hotels and Lodging Houses, On Membership Basis",Lessors of Nonresidential Buildings (except Miniwarehouses),,,No,--,--,--,,--
AFRICAN DEVELOPMENT BANK,Japan Bank for International Cooperation:Mandated arranger,Banks (NEC),,Term Loan,11-09-08,11-09-48,--,"207,444,746","32,100,000,000",Japanese Yen,Project Finance,Asia,Japan,Ivory Coast,Project Finance,Fixed Rate + 55,Senior,,480,,AFDB,"Finance, Insurance and Real Estate\Depository Institutions\Foreign Banking and Branches and Agencies of Foreign Banks\Foreign Trade and International Banking Institutions",Commercial Banking,,,No,--,--,--,,--
BRI WIND FARMS 1 LTD,"Banca Monte dei Paschi di Siena:Participant, Bank of Ireland Ltd:Participant, Co-operative Group Ltd:Participant, IIB Bank Ltd:Participant, IKB Deutsche Industriebank AG:Participant, KBC Bank NV:Participant, Royal Bank of Scotland Plc [RBS]:Bookrunner",Banks (NEC),,Term Loan,16-09-08,15-09-26,--,"223,965,332","215,000,000",Euro,Project Finance,EMEA,Ireland,Ireland,Project Finance,,Senior,Yes,216,,ERVIAW,"Transportation, Communications, Electric, Gas, And Sanitary Services\Electric, Gas, and Sanitary Services\Electric Services\Electric Services",Commercial Banking,,,No,--,--,--,,--
BRI WIND FARMS 1 LTD,"Banca Monte dei Paschi di Siena:Participant, Bank of Ireland Ltd:Participant, Co-operative Group Ltd:Participant, IIB Bank Ltd:Participant, IKB Deutsche Industriebank AG:Participant, KBC Bank NV:Participant, Royal Bank of Scotland Plc [RBS]:Bookrunner",Banks (NEC),,Revolver/Line >= 1 Yr.,16-09-08,15-09-26,--,"3,125,098","3,000,000",Euro,Project Finance,EMEA,Ireland,Ireland,Project Finance,,Senior,Yes,216,,ERVIAW,"Transportation, Communications, Electric, Gas, And Sanitary Services\Electric, Gas, and Sanitary Services\Electric Services\Electric Services",Commercial Banking,,,No,--,--,--,,--
BRI WIND FARMS 1 LTD,"Banca Monte dei Paschi di Siena:Participant, Bank of Ireland Ltd:Participant, Co-operative Group Ltd:Participant, IIB Bank Ltd:Participant, IKB Deutsche Industriebank AG:Participant, KBC Bank NV:Participant, Royal Bank of Scotland Plc [RBS]:Bookrunner",Banks (NEC),,Revolver/Line >= 1 Yr.,16-09-08,15-09-26,--,"11,458,691","11,000,000",Euro,Project Finance,EMEA,Ireland,Ireland,Project Finance,,Senior,Yes,216,,ERVIAW,"Transportation, Communications, Electric, Gas, And Sanitary Services\Electric, Gas, and Sanitary Services\Electric Services\Electric Services",Commercial Banking,,,No,--,--,--,,--
ANDERSON BANCSHARES INC,"Banco Santander SA:Mandated arranger, Bank Nederlandse Gemeenten NV [BNG]:Mandated arranger, Bayerische Landesbank GZ [BayernLB]:Mandated arranger, Fortis SA/NV [ex-Fortis Bank SA/NV]:Mandated arranger, ING Bank NV:Mandated arranger, SG Corporate & Investment Banking:Mandated arranger",Corporate Banks,,Term Loan,05-11-08,04-11-43,--,"326,260,196","313,200,000",Euro,Project Finance,EMEA,Belgium,United States,Project Finance,,Senior,Yes,420,,ADBNC,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Holding Offices\Offices of Bank Holding Companies",Commercial Banking,,,No,--,--,--,,--
ANDERSON BANCSHARES INC,"Banco Santander SA:Mandated arranger, Bank Nederlandse Gemeenten NV [BNG]:Mandated arranger, Bayerische Landesbank GZ [BayernLB]:Mandated arranger, Fortis SA/NV [ex-Fortis Bank SA/NV]:Mandated arranger, ING Bank NV:Mandated arranger, SG Corporate & Investment Banking:Mandated arranger",Corporate Banks,,Term Loan,05-11-08,04-11-43,--,"326,051,856","313,000,000",Euro,Project Finance,EMEA,Belgium,United States,Project Finance,,Senior,Yes,420,,ADBNC,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Holding Offices\Offices of Bank Holding Companies",Commercial Banking,,,No,--,--,--,,--
ANDERSON BANCSHARES INC,"Banco Santander SA:Mandated arranger, Bank Nederlandse Gemeenten NV [BNG]:Mandated arranger, Bayerische Landesbank GZ [BayernLB]:Mandated arranger, Fortis SA/NV [ex-Fortis Bank SA/NV]:Mandated arranger, ING Bank NV:Mandated arranger, SG Corporate & Investment Banking:Mandated arranger",Corporate Banks,,Standby Letter of Credit,05-11-08,04-11-43,--,"123,858,037","118,900,000",Euro,Project Finance,EMEA,Belgium,United States,Project Finance,,Senior,Yes,420,,ADBNC,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Holding Offices\Offices of Bank Holding Companies",Commercial Banking,,,No,--,--,--,,--
BRAZILIAN DEVELOPMENT BANK,"Bank of Tokyo-Mitsubishi UFJ Trust Co:Arranger, Japan Bank for International Cooperation:Arranger",Corporate Financial Services (NEC),,Other Loan,25-12-08,,--,"250,000,000","250,000,000",US Dollar,Project Finance,Latin America,Brazil,Brazil,Project Finance,,Senior,,--,,BNDES,"Finance, Insurance and Real Estate\Depository Institutions\Commercial Banks\National Commercial Banks","International, Secondary Market, and All Other Nondepository Credit Intermediation",,,No,--,--,--,,--
SPORTING SGPS SA,"Banco Espirito Santo SA [BES]:Lender, Banco Millennium BCP Investimento:Mandated arranger",Financial & Commodity Market Operators & Service Providers (NEC),,Term Loan,29-12-08,29-12-25,--,"86,093,040","82,646,736",Euro,Project Finance,EMEA,Portugal,Portugal,Project Finance,Euribor + 150,Senior,Yes,204,,SPRTN,Services\Amusement and Recreation Services\Commercial Sports\Professional Sports Clubs and Promoters,Miscellaneous Financial Investment Activities,,,No,--,--,--,,--
CITIC GUOAN GROUP CO LTD,China Development Bank [CDB]:Mandated arranger,Investment Management & Fund Operators (NEC),,Term Loan,26-01-09,,--,"224,967,221","1,630,000,000",Chinese Yuan,M&A,Asia,China (Mainland),China (Mainland),Acquisition,,Senior,,--,,CGUOA,"Services\Business Services\Computer Programming, Data Processing, and Other Computer Related Services\Information Retrieval Services",Portfolio Management and Investment Advice,,,No,--,--,--,,--
ERNST RUSS AG,,Investment Management & Fund Operators (NEC),,Schuldschein,30-06-09,15-12-25,--,"20,833,984","20,000,000",Euro,Institutional,EMEA,Germany,Germany,General Purpose,Fixed Rate + 0,Senior,,198,,HXCK,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Investment Offices\Management Investment Offices, Open- End",Portfolio Management and Investment Advice,,,No,--,--,--,,--
FRASERS COMMERCIAL ASSET MANAGEMENT LTD,Commonwealth Bank of Australia:Mandated arranger,Investment Management,,Other Loan,13-07-09,,--,"97,515,310","150,000,000",Australian Dollar,,Asia,Australia,Singapore,General Purpose,BBSY + 265,Senior,Yes,--,,FRCTR,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Investment Offices\Management Investment Offices, Open- End",Portfolio Management and Investment Advice,,,No,--,--,--,,--
KK KANGEAN FINANCE COMPANY,Bank of Tokyo-Mitsubishi UFJ Ltd [BTMU]:Mandated arranger,Diversified Investment Services,,Term Loan,29-07-09,,--,"120,000,000","120,000,000",US Dollar,Project Finance,Asia,Indonesia,Japan,Project Finance,,Senior,,--,,MITSBG,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Trusts\Trusts, Except Educational, Religious, and Charitable",,,,No,--,--,--,,--
KK KANGEAN FINANCE COMPANY,Japan Bank for International Cooperation:Mandated arranger,Diversified Investment Services,,Term Loan,29-07-09,,--,"180,000,000","180,000,000",US Dollar,Project Finance,Asia,Indonesia,Japan,Capital expenditure,,Senior,,--,,MITSBG,"Finance, Insurance and Real Estate\Holding and Other Investment Offices\Trusts\Trusts, Except Educational, Religious, and Charitable",,,,No,--,--,--,,--
HOLDING ENERGIES RENOUVELABLES SARL,"BNP Paribas SA:Mandated arranger, DEPFA Bank Plc:Mandated arranger, Dexia Credit Local SA:Mandated arranger, Natixis SA:Mandated arranger",Financial & Commodity Market Operators & Service Providers (NEC),,Term Loan,05-08-09,04-08-25,--,"204,173,047","196,000,000",Euro,"Project Finance, Sponsored, M&A, LBO, Leveraged",EMEA,France,France,Leveraged Buyout,,Senior,Yes,192,,HOENR,"Finance, Insurance and Real Estate\Security and Commodity Brokers, Dealers, Exchanges, and Services\Security Brokers, Dealers, and Flotation Companies\Security Brokers, Dealers, and Flotation Companies",Miscellaneous Financial Investment Activities,,,Yes,--,--,--,,--
DALIAN RONGDA INVESTMENT CO LTD,Industrial & Commercial Bank of China:Mandated arranger,Investment Management & Fund Operators (NEC),,Term Loan,31-08-09,,--,"345,041,750","2,500,000,000",Chinese Yuan,,Asia,China (Mainland),China (Mainland),Capital expenditure,,Senior,,216,,DSOFCA,"Public Administration\Public Finance, Taxation, and Monetary Policy\Public Finance, Taxation, and Monetary Policy\Public Finance, Taxation, and Monetary Policy",Direct Title Insurance Carriers,,,No,--,--,--,,--
