,Bank,In_Strength,Out_Strength,Betweenness,Katz,PageRank
HSBC,HSBC,2064444451,36938433047,25236,0,0.000575380636691274
CREDIT AGRICOLE,CREDIT AGRICOLE,229999998,25811336786,2751,0,0.000244412475361706
DEVELOPMENT BANK OF JAPAN,DEVELOPMENT BANK OF JAPAN,0,927130254,0,0,0.000194254134953484
BANK OF THE PHILIPPINE,BANK OF THE PHILIPPINE,658000002,156932725,245,0,0.000380788855444382
BPI CAPITAL,BPI CAPITAL,0,16639841,0,0,0.000194254134953484
CHINA,CHINA,0,76639841,0,0,0.000194254134953484
EAST WEST BANK,EAST WEST BANK,0,1266552024,0,0,0.000194254134953484
FIRST METRO INVESTMENT,FIRST METRO INVESTMENT,0,16639841,0,0,0.000194254134953484
LAND BANK OF THE PHILIPPINES,LAND BANK OF THE PHILIPPINES,0,16639841,0,0,0.000194254134953484
PHILIPPINE AMERICAN LIFE & GENERAL INSURANCE,PHILIPPINE AMERICAN LIFE & GENERAL INSURANCE,0,7662778,0,0,0.000194254134953484
RCBC CAPITAL,RCBC CAPITAL,0,16639841,0,0,0.000194254134953484
RIZAL COMMERCIAL,RIZAL COMMERCIAL,0,7662778,0,0,0.000194254134953484
UNION BANK OF THE PHILIPPINES,UNION BANK OF THE PHILIPPINES,0,16639841,0,0,0.000194254134953484
UNITED COCONUT PLANTERS BANK,UNITED COCONUT PLANTERS BANK,0,16639841,0,0,0.000194254134953484
OBIHIRO SHINKIN BANK,OBIHIRO SHINKIN BANK,0,17777707,0,0,0.000194254134953484
SHOKO CHUKIN BANK,SHOKO CHUKIN BANK,0,33192190,0,0,0.000194254134953484
FIRST NIAGARA BANK,FIRST NIAGARA BANK,0,6675000,0,0,0.000194254134953484
LIBERTY BANK,LIBERTY BANK,0,25718798,0,0,0.000194254134953484
PEOPLE'S UNITED BANK,PEOPLE'S UNITED BANK,0,321293611,0,0,0.000194254134953484
WEBSTER BANK,WEBSTER BANK,0,2091538634,0,0,0.000194254134953484
LANDESBANK HESSEN-THURINGEN GZ,LANDESBANK HESSEN-THURINGEN GZ,0,1308796800,0,0,0.000194254134953484
BANCO SABADELL,BANCO SABADELL,0,231765451,0,0,0.000194254134953484
INSTITUTO CATALAN DE FINANZAS,INSTITUTO CATALAN DE FINANZAS,0,11654439,0,0,0.000194254134953484
BANK OF CHINA,BANK OF CHINA,0,47915391118,0,0,0.000194254134953484
BANK OF URUMQI,BANK OF URUMQI,0,447270048,0,0,0.000194254134953484
CHINA DEVELOPMENT BANK,CHINA DEVELOPMENT BANK,386033400,3281070912,843,0,0.000419996005006048
HUA XIA BANK WULUMUQI,HUA XIA BANK WULUMUQI,0,447270048,0,0,0.000194254134953484
SHANGHAI PUDONG DEVELOPMENT,SHANGHAI PUDONG DEVELOPMENT,0,3665420792,0,0,0.000194254134953484
CAIXABANK,CAIXABANK,0,6542004035,0,0,0.000194254134953484
HIROSHIMA BANK,HIROSHIMA BANK,0,117251707,0,0,0.000194254134953484
HYAKUJUSHI BANK,HYAKUJUSHI BANK,0,126255726,0,0,0.000194254134953484
IYO BANK,IYO BANK,0,257401191,0,0,0.000194254134953484
UNION BANK,UNION BANK,0,43171347,0,0,0.000194254134953484
ASAHI MUTUAL LIFE INSURANCE,ASAHI MUTUAL LIFE INSURANCE,0,20376546,0,0,0.000194254134953484
COMMERZBANK,COMMERZBANK,0,5359685016,0,0,0.000194254134953484
KFW IPEX-BANK,KFW IPEX-BANK,0,2451876793,0,0,0.000194254134953484
MACQUARIE GROUP,MACQUARIE GROUP,3e+08,180871019,79,0,0.000346491620224066
AGRICULTURAL BANK OF TAIWAN,AGRICULTURAL BANK OF TAIWAN,0,344734394,0,0,0.000194254134953484
CHANG HWA COMMERCIAL BANK,CHANG HWA COMMERCIAL BANK,0,2276600329,0,0,0.000194254134953484
CTBC BANK,CTBC BANK,0,3246197214,0,0,0.000194254134953484
FARGLORY LIFE INSURANCE,FARGLORY LIFE INSURANCE,0,15445353,0,0,0.000194254134953484
HUA NAN COMMERCIAL BANK,HUA NAN COMMERCIAL BANK,0,3925136712,0,0,0.000194254134953484
JIH SUN INTERNATIONAL BANK,JIH SUN INTERNATIONAL BANK,0,31598151,0,0,0.000194254134953484
KAOHSIUNG BUSINESS BANK,KAOHSIUNG BUSINESS BANK,0,15445353,0,0,0.000194254134953484
LAND BANK OF TAIWAN,LAND BANK OF TAIWAN,0,1707832557,0,0,0.000194254134953484
MEGA INTERNATIONAL COMMERCIAL BANK,MEGA INTERNATIONAL COMMERCIAL BANK,0,3577521382,0,0,0.000194254134953484
SINOPAC BANK,SINOPAC BANK,0,38752165,0,0,0.000194254134953484
TAICHUNG COMMERCIAL BANK,TAICHUNG COMMERCIAL BANK,0,445340321,0,0,0.000194254134953484
TAIWAN BUSINESS BANK,TAIWAN BUSINESS BANK,0,2306907583,0,0,0.000194254134953484
TAIWAN COOPERATIVE BANK,TAIWAN COOPERATIVE BANK,0,2553606338,0,0,0.000194254134953484
TAIWAN LIFE INSURANCE,TAIWAN LIFE INSURANCE,0,82170058,0,0,0.000194254134953484
ICB CHINA,ICB CHINA,0,17407660350,0,0,0.000194254134953484
FIRST COMMONWEALTH BANK,FIRST COMMONWEALTH BANK,0,116096468,0,0,0.000194254134953484
FIRST NATIONAL BANK,FIRST NATIONAL BANK,0,155843182,0,0,0.000194254134953484
DNB ASA,DNB ASA,0,442516551,0,0,0.000194254134953484
LAURENTIAN BANK OF CANADA,LAURENTIAN BANK OF CANADA,0,283937409,0,0,0.000194254134953484
SIEMENS BANK,SIEMENS BANK,0,1607628910,0,0,0.000194254134953484
KEIYO BANK,KEIYO BANK,0,74883149,0,0,0.000194254134953484
DAIDO LIFE INSURANCE,DAIDO LIFE INSURANCE,0,461666184,0,0,0.000194254134953484
YAMANASHI CHUO BANK,YAMANASHI CHUO BANK,0,89691823,0,0,0.000194254134953484
LA BANQUE POSTALE,LA BANQUE POSTALE,0,1351584516,0,0,0.000194254134953484
BANCO PORTUGUES DE INVESTIMENTO,BANCO PORTUGUES DE INVESTIMENTO,0,22334921,0,0,0.000194254134953484
AMAGASAKI SHINKIN BANK,AMAGASAKI SHINKIN BANK,0,39640909,0,0,0.000194254134953484
KAWASAKI SHINKIN BANK,KAWASAKI SHINKIN BANK,0,23237789,0,0,0.000194254134953484
AB CHINA,AB CHINA,0,13251583043,0,0,0.000194254134953484
BANK OF COMMUNICATIONS,BANK OF COMMUNICATIONS,0,10541323804,0,0,0.000194254134953484
CHINA CONSTRUCTION BANK,CHINA CONSTRUCTION BANK,0,10857329656,0,0,0.000194254134953484
CHINA MERCHANTS BANK,CHINA MERCHANTS BANK,0,2844474694,0,0,0.000194254134953484
BANK OF NANJING,BANK OF NANJING,0,546951373,0,0,0.000194254134953484
KINKI OSAKA BANK,KINKI OSAKA BANK,0,28527165,0,0,0.000194254134953484
MACQUARIE INFRASTRUCTURE DEBT INVESTMENT SOLUTIONS,MACQUARIE INFRASTRUCTURE DEBT INVESTMENT SOLUTIONS,0,171257195,0,0,0.000194254134953484
ASAHI SHINKIN BANK,ASAHI SHINKIN BANK,0,18787960,0,0,0.000194254134953484
ASHIKAGA BANK,ASHIKAGA BANK,0,208922979,0,0,0.000194254134953484
HIGASHI-NIPPON BANK,HIGASHI-NIPPON BANK,0,33570513,0,0,0.000194254134953484
JOYO BANK,JOYO BANK,0,465619277,0,0,0.000194254134953484
JYOHOKU SHINKIN BANK,JYOHOKU SHINKIN BANK,0,6257253,0,0,0.000194254134953484
KIRABOSHI BANK,KIRABOSHI BANK,0,58989791,0,0,0.000194254134953484
RESONA BANK,RESONA BANK,0,320001764,0,0,0.000194254134953484
TOCHIGI BANK,TOCHIGI BANK,0,74856703,0,0,0.000194254134953484
TSUKUBA BANK,TSUKUBA BANK,0,91804846,0,0,0.000194254134953484
JIANGSU ZIJIN RURAL COMMERCIAL BANK,JIANGSU ZIJIN RURAL COMMERCIAL BANK,0,100389437,0,0,0.000194254134953484
BANCO DE SABADELL,BANCO DE SABADELL,0,1755142713,0,0,0.000194254134953484
CREDIT INDUSTRIEL ET COMMERCIAL NEW YORK,CREDIT INDUSTRIEL ET COMMERCIAL NEW YORK,0,103478261,0,0,0.000194254134953484
NEW YORK LIFE CAPITAL,NEW YORK LIFE CAPITAL,0,6e+07,0,0,0.000194254134953484
BANCO NACIONAL DE COMERCIO EXTERIOR SNC,BANCO NACIONAL DE COMERCIO EXTERIOR SNC,373000001,84394422,186,0.0639759966149034,0.000230847984392531
BANCO NACIONAL DE MEXICO,BANCO NACIONAL DE MEXICO,0,68327788,0,0,0.000194254134953484
BANCO NACIONAL DE OBRAS Y SERVICIOS PUBLICOS SNC,BANCO NACIONAL DE OBRAS Y SERVICIOS PUBLICOS SNC,0,68327788,0,0,0.000194254134953484
INTESA SANPAOLO SPA,INTESA SANPAOLO SPA,0,6319619450,0,0,0.000194254134953484
US BANK,US BANK,0,14977968591,0,0,0.000194254134953484
IMI - INTESA SANPAOLO,IMI - INTESA SANPAOLO,0,463402570,0,0,0.000194254134953484
UNICREDIT,UNICREDIT,0,3877847814,0,0,0.000194254134953484
ASSOCIATED BANK,ASSOCIATED BANK,0,1411396513,0,0,0.000194254134953484
DNB MARKETS,DNB MARKETS,0,26899311,0,0,0.000194254134953484
DZ BANK,DZ BANK,0,2824604899,0,0,0.000194254134953484
STANDARD CHARTERED,STANDARD CHARTERED,0,17131981105,0,0,0.000194254134953484
BANK OF JIUJIANG,BANK OF JIUJIANG,0,21758794,0,0,0.000194254134953484
NATIONAL MUTUAL INSURANCE FEDERATION OF AGRICULTURAL COOPERATIVES,NATIONAL MUTUAL INSURANCE FEDERATION OF AGRICULTURAL COOPERATIVES,0,63167294,0,0,0.000194254134953484
AOKI SHINKIN BANK,AOKI SHINKIN BANK,0,10442980,0,0,0.000194254134953484
77 BANK,77 BANK,0,521285462,0,0,0.000194254134953484
HOKKAI SHINKIN,HOKKAI SHINKIN,0,18864334,0,0,0.000194254134953484
UNITED OVERSEAS BANK,UNITED OVERSEAS BANK,0,6310587981,0,0,0.000194254134953484
WESTPAC,WESTPAC,0,9962258830,0,0,0.000194254134953484
BARCLAYS,BARCLAYS,0,27387116985,0,0,0.000194254134953484
CREDIT SUISSE,CREDIT SUISSE,0,12507225629,0,0,0.000194254134953484
UBS,UBS,499999997,12432581289,4590,0.0264145318873028,0.00020356418059737
KITAKYUSHU BANK,KITAKYUSHU BANK,0,16862128,0,0,0.000194254134953484
MIE BANK,MIE BANK,0,26519953,0,0,0.000194254134953484
OITA BANK,OITA BANK,0,29227696,0,0,0.000194254134953484
SAGA BANK,SAGA BANK,0,37310361,0,0,0.000194254134953484
INDUSTRIAL BANK (CHINA),INDUSTRIAL BANK (CHINA),0,676215410,0,0,0.000194254134953484
AICHI BANK,AICHI BANK,0,29369891,0,0,0.000194254134953484
CITIC BANK,CITIC BANK,0,4742454596,0,0,0.000194254134953484
GOLDMAN SACHS,GOLDMAN SACHS,1.685e+09,26780513990,11544,0.0498933586769872,0.000227797148394003
JP MORGAN CHASE,JP MORGAN CHASE,0,53346994876,0,0,0.000194254134953484
NOMURA HOLDINGS,NOMURA HOLDINGS,0,1959009699,0,0,0.000194254134953484
JIANGSU DONGHAI RURAL COMMERCIAL BANK,JIANGSU DONGHAI RURAL COMMERCIAL BANK,0,34814070,0,0,0.000194254134953484
NORDDEUTSCHE LANDESBANK GZ,NORDDEUTSCHE LANDESBANK GZ,0,661568276,0,0,0.000194254134953484
CHINA MINSHENG BANKING,CHINA MINSHENG BANKING,0,3262234313,0,0,0.000194254134953484
BANK OF IWATE,BANK OF IWATE,0,40406743,0,0,0.000194254134953484
DAISHI HOKUETSU BANK,DAISHI HOKUETSU BANK,0,71825801,0,0,0.000194254134953484
MICHINOKU BANK,MICHINOKU BANK,0,17628186,0,0,0.000194254134953484
NIPPON LIFE INSURANCE,NIPPON LIFE INSURANCE,0,659937131,0,0,0.000194254134953484
NTT FINANCE,NTT FINANCE,3696720953,57692539,41,0,0.00129228911210805
SHIZUOKA BANK,SHIZUOKA BANK,0,625901274,0,0,0.000194254134953484
TOHO BANK,TOHO BANK,0,97953387,0,0,0.000194254134953484
ROYAL BANK OF CANADA,ROYAL BANK OF CANADA,0,20157610794,0,0,0.000194254134953484
TORONTO DOMINION BANK,TORONTO DOMINION BANK,0,13352345363,0,0,0.000194254134953484
SHICHIJU SHICHI BANK,SHICHIJU SHICHI BANK,0,57996039,0,0,0.000194254134953484
AOZORA BANK,AOZORA BANK,0,939732991,0,0,0.000194254134953484
BANK OF GUANGZHOU,BANK OF GUANGZHOU,0,69628140,0,0,0.000194254134953484
KOSAN SHINKIN BANK,KOSAN SHINKIN BANK,0,4686606,0,0,0.000194254134953484
CLEAN ENERGY FINANCE,CLEAN ENERGY FINANCE,0,259865299,0,0,0.000194254134953484
BPIFRANCE ASSURANCE EXPORT,BPIFRANCE ASSURANCE EXPORT,0,100581261,0,0,0.000194254134953484
SFIL,SFIL,0,64278043,0,0,0.000194254134953484
BANQUE INTERNATIONALE DE COMMERCE BRED,BANQUE INTERNATIONALE DE COMMERCE BRED,0,47807950,0,0,0.000194254134953484
AKITA BANK,AKITA BANK,0,101965839,0,0,0.000194254134953484
HYAKUGO BANK,HYAKUGO BANK,0,374898391,0,0,0.000194254134953484
JUROKU FINANCIAL GROUP,JUROKU FINANCIAL GROUP,0,3748874,0,0,0.000194254134953484
TAIYO LIFE INSURANCE,TAIYO LIFE INSURANCE,0,50614931,0,0,0.000194254134953484
BANK OF FUKUOKA,BANK OF FUKUOKA,0,10800304,0,0,0.000194254134953484
SUNTRUST BANK,SUNTRUST BANK,0,962141613,0,0,0.000194254134953484
BANK OF UTAH,BANK OF UTAH,0,96569363,0,0,0.000194254134953484
CREDIT INDUSTRIEL ET COMMERCIAL,CREDIT INDUSTRIEL ET COMMERCIAL,0,3089389061,0,0,0.000194254134953484
FIRST MIDWEST BANK,FIRST MIDWEST BANK,0,97504960,0,0,0.000194254134953484
HUNTINGTON NATIONAL BANK,HUNTINGTON NATIONAL BANK,0,2625702771,0,0,0.000194254134953484
MB FINANCIAL BANK,MB FINANCIAL BANK,0,16250000,0,0,0.000194254134953484
ICICI BANK,ICICI BANK,0,111719187,0,0,0.000194254134953484
INDIAN BANK,INDIAN BANK,0,101800539,0,0,0.000194254134953484
KARNATAKA BANK,KARNATAKA BANK,0,17036532,0,0,0.000194254134953484
SAWAYAKA SHINKIN,SAWAYAKA SHINKIN,0,46356643,0,0,0.000194254134953484
TOKYO STAR BANK,TOKYO STAR BANK,0,191590307,0,0,0.000194254134953484
DAI-ICHI LIFE HOLDINGS,DAI-ICHI LIFE HOLDINGS,0,170191194,0,0,0.000194254134953484
SCOTIA BANK,SCOTIA BANK,0,187015206,0,0,0.000194254134953484
NANTO BANK,NANTO BANK,0,167634613,0,0,0.000194254134953484
ORIX BANK,ORIX BANK,0,6539702,0,0,0.000194254134953484
SBI SHINSEI BANK,SBI SHINSEI BANK,0,1717748525,0,0,0.000194254134953484
SHONAI BANK,SHONAI BANK,0,12736446,0,0,0.000194254134953484
AFFIN HWANG CAPITAL,AFFIN HWANG CAPITAL,0,134998507,0,0,0.000194254134953484
CIMB ISLAMIC BANK BHD,CIMB ISLAMIC BANK BHD,0,454639222,0,0,0.000194254134953484
MALAYAN BHD,MALAYAN BHD,0,776737552,0,0,0.000194254134953484
CHUGOKU BANK,CHUGOKU BANK,0,482580621,0,0,0.000194254134953484
CAISSE D'EPARGNE ET DE PREVOYANCE DE RHONE ALPES,CAISSE D'EPARGNE ET DE PREVOYANCE DE RHONE ALPES,0,82992786,0,0,0.000194254134953484
RABOBANK,RABOBANK,0,4445334808,0,0,0.000194254134953484
HONGKONG & SHANGHAI,HONGKONG & SHANGHAI,0,1136084234,0,0,0.000194254134953484
DANSKE BANK A/S,DANSKE BANK A/S,0,1702236191,0,0,0.000194254134953484
MORGAN STANLEY,MORGAN STANLEY,1899999999,27309586389,3214,0,0.000242546487342676
NORDEA BANK OJSC,NORDEA BANK OJSC,0,219003334,0,0,0.000194254134953484
NYKREDIT BANK AS,NYKREDIT BANK AS,0,310152016,0,0,0.000194254134953484
SKANDINAVISKA ENSKILDA BANKEN AB,SKANDINAVISKA ENSKILDA BANKEN AB,0,3411602858,0,0,0.000194254134953484
BANK OF MONTREAL,BANK OF MONTREAL,0,17543247676,0,0,0.000194254134953484
JEFFERIES,JEFFERIES,0,3802861606,0,0,0.000194254134953484
CITIZENS BANK,CITIZENS BANK,0,9168203170,0,0,0.000194254134953484
BANQUE POPULAIRE AUVERGNE RHONE ALPES,BANQUE POPULAIRE AUVERGNE RHONE ALPES,0,40840134,0,0,0.000194254134953484
CIC LYONNAISE DE BANQUE,CIC LYONNAISE DE BANQUE,0,53709488,0,0,0.000194254134953484
DEUTSCHE PFANDBRIEFBANK,DEUTSCHE PFANDBRIEFBANK,0,314686366,0,0,0.000194254134953484
NATWEST MARKETS,NATWEST MARKETS,0,1369876270,0,0,0.000194254134953484
UNICREDIT BANK,UNICREDIT BANK,0,564718099,0,0,0.000194254134953484
ANZ,ANZ,0,12482714834,0,0,0.000194254134953484
IFM INVESTORS PTY,IFM INVESTORS PTY,0,220187073,0,0,0.000194254134953484
SCOTIABANK,SCOTIABANK,0,1037433790,0,0,0.000194254134953484
MISHIMA SHINKIN BANK,MISHIMA SHINKIN BANK,0,18848305,0,0,0.000194254134953484
AXIS BANK,AXIS BANK,975000004,383096525,392,0,0.000268839306970082
NATIONAL BANK OF FUJAIRAH PSC,NATIONAL BANK OF FUJAIRAH PSC,0,351877157,0,0,0.000194254134953484
BANK OF DONGGUAN,BANK OF DONGGUAN,0,304810180,0,0,0.000194254134953484
CHINA EVERBRIGHT BANK,CHINA EVERBRIGHT BANK,0,1903273772,0,0,0.000194254134953484
BELGIAN INVESTMENT COMPANY FOR DEVELOPING COUNTRIES,BELGIAN INVESTMENT COMPANY FOR DEVELOPING COUNTRIES,0,2.5e+07,0,0,0.000194254134953484
BLUE ORCHARD MICROFINANCE FUND,BLUE ORCHARD MICROFINANCE FUND,0,3.9e+07,0,0,0.000194254134953484
DEG,DEG,0,72619119,0,0,0.000194254134953484
NEDERLANDSE FINANCIERINGS-MAATSCHAPPIJ VOOR ONTWIKKELINGSLANDEN,NEDERLANDSE FINANCIERINGS-MAATSCHAPPIJ VOOR ONTWIKKELINGSLANDEN,0,200252316,0,0,0.000194254134953484
OESTERREICHISCHE ENTWICKLUNGSBANK (OEEB),OESTERREICHISCHE ENTWICKLUNGSBANK (OEEB),0,32882667,0,0,0.000194254134953484
OIKOCREDIT,OIKOCREDIT,0,2.5e+07,0,0,0.000194254134953484
PROPARCO,PROPARCO,0,469100938,0,0,0.000194254134953484
SYMBIOTICS,SYMBIOTICS,0,71552381,0,0,0.000194254134953484
AUSTRALIANSUPER PTY,AUSTRALIANSUPER PTY,0,200503141,0,0,0.000194254134953484
EIGHTEENTH BANK,EIGHTEENTH BANK,0,2127597,0,0,0.000194254134953484
MAYBANK INVESTMENT BANK BHD,MAYBANK INVESTMENT BANK BHD,0,58104703,0,0,0.000194254134953484
HSH NORDBANK,HSH NORDBANK,0,3645947,0,0,0.000194254134953484
LANDESBANK BADEN-WURTTEMBERG,LANDESBANK BADEN-WURTTEMBERG,0,1645110270,0,0,0.000194254134953484
RAIFFEISENLANDESBANK NIEDEROSTERREICH-WIEN,RAIFFEISENLANDESBANK NIEDEROSTERREICH-WIEN,0,3645947,0,0,0.000194254134953484
ASKARI BANK,ASKARI BANK,0,392771,0,0,0.000194254134953484
BANK AL HABIB,BANK AL HABIB,0,392771,0,0,0.000194254134953484
FAYSAL INCOME & GROWTH FUND,FAYSAL INCOME & GROWTH FUND,0,392771,0,0,0.000194254134953484
JS BANK,JS BANK,0,392771,0,0,0.000194254134953484
MCB BANK,MCB BANK,0,22744166,0,0,0.000194254134953484
PAIR INVESTMENT,PAIR INVESTMENT,0,392771,0,0,0.000194254134953484
PAK OMAN INVESTMENT,PAK OMAN INVESTMENT,0,392771,0,0,0.000194254134953484
UNITED BANK (PAKISTAN),UNITED BANK (PAKISTAN),0,852908,0,0,0.000194254134953484
BANK OF BEIJING,BANK OF BEIJING,0,241297893,0,0,0.000194254134953484
KKR CAPITAL MARKETS,KKR CAPITAL MARKETS,0,1738124789,0,0,0.000194254134953484
KOREA DEVELOPMENT BANK,KOREA DEVELOPMENT BANK,499999995,4301601348,1738,0,0.000219880987441395
KEYBANK,KEYBANK,0,6580124131,0,0,0.000194254134953484
DEKABANK DEUTSCHE GIROZENTRALE,DEKABANK DEUTSCHE GIROZENTRALE,0,195427044,0,0,0.000194254134953484
CANADIAN IMPERIAL BANK OF COMMERCE,CANADIAN IMPERIAL BANK OF COMMERCE,0,13345675932,0,0,0.000194254134953484
FIFTH THIRD BANK,FIFTH THIRD BANK,0,6315419161,0,0,0.000194254134953484
TD,TD,0,71428571,0,0,0.000194254134953484
ABN AMRO CAPITAL USA,ABN AMRO CAPITAL USA,0,272727273,0,0,0.000194254134953484
DBS BANK,DBS BANK,0,10281348000,0,0,0.000194254134953484
SAUDI NATIONAL BANK SJSC,SAUDI NATIONAL BANK SJSC,1350000008,1000546718,1541,0,0.000397547178279394
GUNMA BANK,GUNMA BANK,0,1021489133,0,0,0.000194254134953484
GREAT AMERICAN INSURANCE,GREAT AMERICAN INSURANCE,0,57794984,0,0,0.000194254134953484
GREAT AMERICAN LIFE INSURANCE,GREAT AMERICAN LIFE INSURANCE,0,57794984,0,0,0.000194254134953484
BLACKSTONE,BLACKSTONE,26387203255,600702705,675,0.542213934488349,0.00059450143910022
CREDIT MUTUEL,CREDIT MUTUEL,0,968862295,0,0,0.000194254134953484
EXPORT DEVELOPMENT CANADA,EXPORT DEVELOPMENT CANADA,0,1617417508,0,0,0.000194254134953484
NORINCHUKIN BANK,NORINCHUKIN BANK,0,2953291394,0,0,0.000194254134953484
BLUE OWL CAPITAL,BLUE OWL CAPITAL,0,1562128594,0,0,0.000194254134953484
BELFIUS BANK & INSURANCE /,BELFIUS BANK & INSURANCE /,0,200788122,0,0,0.000194254134953484
UNIONE DI BANCHE ITALIANE SCPA,UNIONE DI BANCHE ITALIANE SCPA,0,186375555,0,0,0.000194254134953484
NORDEA BANK AB,NORDEA BANK AB,0,1905090642,0,0,0.000194254134953484
COFIDES,COFIDES,0,24479932,0,0,0.000194254134953484
CREDIT LYONNAIS,CREDIT LYONNAIS,0,627663727,0,0,0.000194254134953484
DAI-ICHI MUTUAL LIFE INSURANCE,DAI-ICHI MUTUAL LIFE INSURANCE,0,118639581,0,0,0.000194254134953484
HOKURIKU BANK,HOKURIKU BANK,0,57836952,0,0,0.000194254134953484
KYOTO CHUO SHINKIN BANK,KYOTO CHUO SHINKIN BANK,0,32078592,0,0,0.000194254134953484
TAMA SHINKIN BANK,TAMA SHINKIN BANK,0,26031038,0,0,0.000194254134953484
BANK OF TAIWAN,BANK OF TAIWAN,0,1409638956,0,0,0.000194254134953484
E SUN COMMERCIAL BANK,E SUN COMMERCIAL BANK,0,2786184288,0,0,0.000194254134953484
FIRST COMMERCIAL BANK,FIRST COMMERCIAL BANK,0,3670815198,0,0,0.000194254134953484
HACHIJUNI BANK,HACHIJUNI BANK,0,773438353,0,0,0.000194254134953484
LAND BANK OF TAIWAN SINGAPORE,LAND BANK OF TAIWAN SINGAPORE,0,143592554,0,0,0.000194254134953484
AOZORA ASIA PACIFIC FINANCE,AOZORA ASIA PACIFIC FINANCE,0,150606212,0,0,0.000194254134953484
SAN-IN GODO BANK,SAN-IN GODO BANK,0,219455318,0,0,0.000194254134953484
